##,World,Population,Column ,CountrySize
128,Montenegro,"628,066",DZ,C
129,Montserrat,"4,992",EA,C
130,Morocco,"36,910,560",EB,B
131,Mozambique,"31,255,435",EC,B
132,Myanmar,"54,409,800",ED,A
133,Namibia,"2,540,905",EE,C
134,Nepal,"29,136,808",EF,B
135,Netherlands,"17,134,872",EG,B
136,New Caledonia,"285,498",EH,C
137,New Zealand,"4,822,233",EI,C
138,Nicaragua,"6,624,554",EJ,B
139,Niger,"24,206,644",EK,B
140,Nigeria,"206,139,589",EL,A
141,Northern Mariana Islands,"57,559",EM,C
142,Norway,"5,421,241",EN,B
143,Oman,"5,106,626",EO,B
144,Pakistan,"220,892,340",EP,A
145,Palestine,"18,094",EQ,C
146,Panama,"4,314,767",ER,C
147,Papua New Guinea,"8,947,024",ES,B
148,Paraguay,"7,132,538",ET,B
149,Peru,"32,971,854",EU,B
150,Philippines,"109,581,078",EV,A
151,Poland,"37,846,611",EW,B
152,Portugal,"10,196,709",EX,B
153,Puerto Rico,"2,860,853",EY,C
154,Qatar,"2,881,053",EZ,C
155,Romania,"895,312",FA,C
156,Russia,"895,312",FB,C
157,Rwanda,"895,312",FC,C
158,Saint Kitts and Nevis,"53,199",FD,C
159,Saint Lucia,"183,627",FE,C
160,Saint Vincent and the Grenadines,"5,794",FF,C
161,San Marino,"33,931",FG,C
162,Sao Tome and Principe,"219,159",FH,C
163,Saudi Arabia,"34,813,871",FI,B
164,Senegal,"16,743,927",FJ,B
165,Serbia,"8,737,371",FK,B
166,Seychelles,"98,347",FL,C
167,Sierra Leone,"7,976,983",FM,B
168,Singapore,"5,850,342",FN,B
169,Sint Maarten (Dutch part),"42,876",FO,C
170,Slovakia,"5,459,642",FP,B
171,Slovenia,"2,078,938",FQ,C
172,Somalia,"15,893,222",FR,B
173,South Africa,"59,308,690",FS,A
174,South Korea,"51,269,185",FT,A
175,South Sudan,"11,193,725",FU,B
176,Spain,"46,754,778",FV,B
177,Sri Lanka,"21,413,249",FW,B
178,Sudan,"43,849,260",FX,B
179,Suriname,"586,632",FY,C
180,Swaziland,"586,632",FZ,C
181,Sweden,"10,099,265",GA,B
182,Switzerland,"8,654,622",GB,B
183,Syria,"17,500,658",GC,B
184,Taiwan,"23,816,775",GD,B
185,Tanzania,"59,734,218",GE,A
186,Thailand,"69,799,978",GF,A
187,Timor,"69,799,978",GG,A
188,Togo,"8,278,724",GH,B
189,Trinidad and Tobago,"1,399,488",GI,C
190,Tunisia,"11,818,619",GJ,B
191,Turkey,"84,339,067",GK,A
192,Turks and Caicos Islands,"38,717",GL,C
193,Uganda,"45,741,007",GM,B
194,Ukraine,"43,733,762",GN,B
195,United Arab Emirates,"9,890,402",GO,B
196,United Kingdom,"67,886,011",GP,A
197,United States,"331,002,651",GQ,A
198,United States Virgin Islands,"331,002,651",GR,A
199,Uruguay,"3,473,730",GS,C
200,Uzbekistan,"33,469,203",GT,B
201,Vatican,"307,145",GU,C
202,Venezuela,"28,435,940",GV,B
203,Vietnam,"97,338,579",GW,A
204,Zambia,"18,383,955",GX,B
205,Zimbabwe,"14,862,924",GY,B
